Prompt,Entities
"Allow access for IP ""90.170.129.68"" from ""252.73.254.241"" source and ""WAN"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""90.170.129.68"", ""252.73.254.241""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""105.249.41.76"" from ""54.179.106.209"" source and ""DMZ"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""105.249.41.76"", ""54.179.106.209""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""173.131.14.44"" from ""244.25.202.198"" source and ""LAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""173.131.14.44"", ""244.25.202.198""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""46.38.209.253"" from ""200.73.147.200"" source and ""WAN"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""46.38.209.253"", ""200.73.147.200""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""150.31.152.247"" from ""83.41.191.62"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""150.31.152.247"", ""83.41.191.62""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""54.147.12.147"" from ""187.196.152.184"" source and ""LAN"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""54.147.12.147"", ""187.196.152.184""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""160.219.64.98"" from ""130.79.204.103"" source and ""DMZ"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""160.219.64.98"", ""130.79.204.103""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""98.94.76.2"" from ""251.152.195.150"" source and ""LAN"" zone to ""WAN"" zone with Service ""RDP""","{""IP"": [""98.94.76.2"", ""251.152.195.150""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""RDP""}"
"Allow access for IP ""55.135.229.193"" from ""193.218.244.30"" source and ""DMZ"" zone to ""LAN"" zone with Service ""Telnet""","{""IP"": [""55.135.229.193"", ""193.218.244.30""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""205.83.61.151"" from ""226.142.123.149"" source and ""LAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""205.83.61.151"", ""226.142.123.149""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""46.149.214.162"" from ""32.98.84.31"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""46.149.214.162"", ""32.98.84.31""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""43.9.198.54"" from ""219.88.148.60"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""43.9.198.54"", ""219.88.148.60""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""195.139.245.214"" from ""255.125.66.78"" source and ""LAN"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""195.139.245.214"", ""255.125.66.78""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""188.221.202.188"" from ""191.201.131.224"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""188.221.202.188"", ""191.201.131.224""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""69.56.24.212"" from ""166.112.197.73"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""69.56.24.212"", ""166.112.197.73""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""156.103.97.221"" from ""201.116.147.130"" source and ""WAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""156.103.97.221"", ""201.116.147.130""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""39.129.92.127"" from ""116.154.140.132"" source and ""LAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""39.129.92.127"", ""116.154.140.132""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""149.253.7.212"" from ""214.49.95.179"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""149.253.7.212"", ""214.49.95.179""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""246.237.252.201"" from ""115.43.215.163"" source and ""WAN"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""246.237.252.201"", ""115.43.215.163""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""193.229.108.250"" from ""72.78.13.69"" source and ""LAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""193.229.108.250"", ""72.78.13.69""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""151.164.11.49"" from ""1.76.136.255"" source and ""LAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""151.164.11.49"", ""1.76.136.255""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""6.59.254.67"" from ""124.231.1.188"" source and ""DMZ"" zone to ""WAN"" zone with Service ""HTTPS""","{""IP"": [""6.59.254.67"", ""124.231.1.188""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""7.125.202.43"" from ""30.241.70.121"" source and ""LAN"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""7.125.202.43"", ""30.241.70.121""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""198.149.7.98"" from ""162.189.242.190"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""198.149.7.98"", ""162.189.242.190""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""62.122.123.35"" from ""143.48.26.224"" source and ""WAN"" zone to ""WAN"" zone with Service ""RDP""","{""IP"": [""62.122.123.35"", ""143.48.26.224""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""RDP""}"
"Allow access for IP ""126.60.215.168"" from ""159.204.81.25"" source and ""WAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""126.60.215.168"", ""159.204.81.25""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""232.207.18.113"" from ""81.211.70.166"" source and ""WAN"" zone to ""DMZ"" zone with Service ""Any""","{""IP"": [""232.207.18.113"", ""81.211.70.166""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Any""}"
"Allow access for IP ""201.117.55.204"" from ""108.118.126.174"" source and ""LAN"" zone to ""DMZ"" zone with Service ""SSH""","{""IP"": [""201.117.55.204"", ""108.118.126.174""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""SSH""}"
"Allow access for IP ""76.189.30.152"" from ""9.143.90.25"" source and ""WAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""76.189.30.152"", ""9.143.90.25""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""231.21.1.91"" from ""105.242.13.150"" source and ""WAN"" zone to ""LAN"" zone with Service ""RDP""","{""IP"": [""231.21.1.91"", ""105.242.13.150""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""RDP""}"
"Allow access for IP ""4.102.69.247"" from ""215.179.70.83"" source and ""LAN"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""4.102.69.247"", ""215.179.70.83""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""139.173.110.250"" from ""132.83.202.2"" source and ""LAN"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""139.173.110.250"", ""132.83.202.2""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""126.218.252.252"" from ""50.195.226.234"" source and ""DMZ"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""126.218.252.252"", ""50.195.226.234""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""214.83.152.113"" from ""76.55.57.84"" source and ""LAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""214.83.152.113"", ""76.55.57.84""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""81.122.77.4"" from ""44.117.121.197"" source and ""WAN"" zone to ""DMZ"" zone with Service ""FTP""","{""IP"": [""81.122.77.4"", ""44.117.121.197""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""FTP""}"
"Allow access for IP ""231.43.57.86"" from ""97.59.157.244"" source and ""LAN"" zone to ""DMZ"" zone with Service ""HTTP""","{""IP"": [""231.43.57.86"", ""97.59.157.244""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTP""}"
"Allow access for IP ""249.170.94.59"" from ""235.177.115.176"" source and ""LAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""249.170.94.59"", ""235.177.115.176""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""116.181.83.12"" from ""24.139.243.69"" source and ""LAN"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""116.181.83.12"", ""24.139.243.69""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""184.106.93.203"" from ""130.250.217.54"" source and ""WAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""184.106.93.203"", ""130.250.217.54""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""166.190.88.225"" from ""76.121.164.53"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""166.190.88.225"", ""76.121.164.53""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""38.167.113.28"" from ""237.18.160.101"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""38.167.113.28"", ""237.18.160.101""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""184.166.249.41"" from ""92.23.112.223"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""184.166.249.41"", ""92.23.112.223""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
